#,Nivel,URL,Title Tag,Meta Description,H1,Zona,Tipo Zona,Servicio,Prioridad,Estado
1,Homepage,/,Masajes a Domicilio en Medellín | Manos Curativas,"Masajes profesionales a domicilio en Medellín y alrededores. Relajantes, deportivos, terapéuticos, prenatal, ventosas y más. Reserva.",Masajes a Domicilio en Medellín,Medellín,Ciudad,Todos,Alta,Pendiente
2,Hub Svc ★ (22z),/masajes-relajantes-a-domicilio/,Masajes Relajantes a Domicilio en Medellín | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en Medellín y alrededores. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en Medellín,Medellín,Ciudad,Masajes Relajantes,Alta,Pendiente
3,Hub Svc ★ (22z),/masajes-deportivos-a-domicilio/,Masajes Deportivos a Domicilio en Medellín | Manos Curativas,"Masajes deportivos profesionales a domicilio en Medellín y alrededores. Recuperación muscular, prevención de lesiones y rendimiento. Agenda tu cita.",Masajes Deportivos a Domicilio en Medellín,Medellín,Ciudad,Masajes Deportivos,Alta,Pendiente
4,Hub Svc ● (3z),/masajes-terapeuticos-a-domicilio/,Masajes Terapéuticos a Domicilio en Medellín | Manos Curativas,"Masajes terapéuticos profesionales a domicilio en Medellín y alrededores. Alivio del dolor, contracturas y tensión crónica. Reserva tu sesión.",Masajes Terapéuticos a Domicilio en Medellín,Medellín,Ciudad,Masajes Terapéuticos,Alta,Pendiente
5,Hub Svc ● (3z),/drenaje-linfatico-a-domicilio/,Drenaje Linfático a Domicilio en Medellín | Manos Curativas,Drenaje linfático profesional a domicilio en Medellín y alrededores. Desintoxicación y reducción de retención de líquidos. Reserva hoy.,Drenaje Linfático a Domicilio en Medellín,Medellín,Ciudad,Drenaje Linfático,Alta,Pendiente
6,Hub Svc ● (3z),/masaje-descontracturante-a-domicilio/,Masaje Descontracturante a Domicilio en Medellín | Manos Curativas,Masaje descontracturante profesional a domicilio en Medellín y alrededores. Liberación de nudos musculares y alivio inmediato. Agenda tu cita.,Masaje Descontracturante a Domicilio en Medellín,Medellín,Ciudad,Masaje Descontracturante,Alta,Pendiente
7,Hub Svc ● (3z),/masaje-tejido-profundo-a-domicilio/,Masaje de Tejido Profundo a Domicilio en Medellín | Manos Curativas,Masaje de tejido profundo a domicilio en Medellín y alrededores. Trabajo en capas musculares profundas para dolor crónico. Reserva tu sesión.,Masaje de Tejido Profundo a Domicilio en Medellín,Medellín,Ciudad,Masaje de Tejido Profundo,Alta,Pendiente
8,Hub Svc ● (3z),/masaje-prenatal-a-domicilio/,Masaje Prenatal a Domicilio en Medellín | Manos Curativas,Masaje prenatal especializado a domicilio en Medellín y alrededores. Alivio seguro para mamás en gestación. Bienestar para ti y tu bebé.,Masaje Prenatal a Domicilio en Medellín,Medellín,Ciudad,Masaje Prenatal,Alta,Pendiente
9,Hub Svc ● (3z),/masaje-con-ventosas-a-domicilio/,Masaje con Ventosas a Domicilio en Medellín | Manos Curativas,"Masaje con ventosas (cupping) profesional a domicilio en Medellín y alrededores. Desinflamación, circulación y alivio muscular. Agenda tu sesión.",Masaje con Ventosas a Domicilio en Medellín,Medellín,Ciudad,Masaje con Ventosas,Alta,Pendiente
10,Hub Svc ● (3z),/masaje-piedras-volcanicas-a-domicilio/,Masaje con Piedras Volcánicas a Domicilio en Medellín | Manos Curativas,Masaje con piedras volcánicas calientes a domicilio en Medellín y alrededores. Relajación profunda con calor terapéutico. Reserva tu sesión.,Masaje con Piedras Volcánicas a Domicilio en Medellín,Medellín,Ciudad,Masaje con Piedras Volcánicas,Alta,Pendiente
11,Hub Zona,/masajes-a-domicilio-en-medellin/,Masajes a Domicilio en Medellín | Manos Curativas,"Masajes profesionales a domicilio en Medellín. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Medellín,Medellín,Ciudad,Todos,Alta,Pendiente
12,Hub Zona,/masajes-a-domicilio-en-el-poblado/,Masajes a Domicilio en El Poblado | Manos Curativas,"Masajes profesionales a domicilio en El Poblado. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en El Poblado,El Poblado,Barrio Medellín,Todos,Alta,Pendiente
13,Hub Zona,/masajes-a-domicilio-en-las-palmas-medellin/,Masajes a Domicilio en Las Palmas Medellín | Manos Curativas,"Masajes profesionales a domicilio en Las Palmas Medellín. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Las Palmas Medellín,Las Palmas Medellín,Barrio Medellín,Todos,Alta,Pendiente
14,Hub Zona,/masajes-a-domicilio-en-laureles/,Masajes a Domicilio en Laureles | Manos Curativas,"Masajes profesionales a domicilio en Laureles. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Laureles,Laureles,Barrio Medellín,Todos,Alta,Pendiente
15,Hub Zona,/masajes-a-domicilio-en-estadio/,Masajes a Domicilio en Estadio | Manos Curativas,"Masajes profesionales a domicilio en Estadio. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Estadio,Estadio,Barrio Medellín,Todos,Media,Pendiente
16,Hub Zona,/masajes-a-domicilio-en-belen/,Masajes a Domicilio en Belén | Manos Curativas,"Masajes profesionales a domicilio en Belén. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Belén,Belén,Barrio Medellín,Todos,Media,Pendiente
17,Hub Zona,/masajes-a-domicilio-en-manila/,Masajes a Domicilio en Manila | Manos Curativas,"Masajes profesionales a domicilio en Manila. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Manila,Manila,Barrio Medellín,Todos,Media,Pendiente
18,Hub Zona,/masajes-a-domicilio-en-castropol/,Masajes a Domicilio en Castropol | Manos Curativas,"Masajes profesionales a domicilio en Castropol. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Castropol,Castropol,Barrio Medellín,Todos,Media,Pendiente
19,Hub Zona,/masajes-a-domicilio-en-envigado/,Masajes a Domicilio en Envigado | Manos Curativas,"Masajes profesionales a domicilio en Envigado. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Envigado,Envigado,Municipio Sur,Todos,Alta,Pendiente
20,Hub Zona,/masajes-a-domicilio-en-sabaneta/,Masajes a Domicilio en Sabaneta | Manos Curativas,"Masajes profesionales a domicilio en Sabaneta. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Sabaneta,Sabaneta,Municipio Sur,Todos,Alta,Pendiente
21,Hub Zona,/masajes-a-domicilio-en-itagui/,Masajes a Domicilio en Itagüí | Manos Curativas,"Masajes profesionales a domicilio en Itagüí. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Itagüí,Itagüí,Municipio Sur,Todos,Alta,Pendiente
22,Hub Zona,/masajes-a-domicilio-en-la-estrella/,Masajes a Domicilio en La Estrella | Manos Curativas,"Masajes profesionales a domicilio en La Estrella. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en La Estrella,La Estrella,Municipio Sur,Todos,Media,Pendiente
23,Hub Zona,/masajes-a-domicilio-en-rionegro/,Masajes a Domicilio en Rionegro | Manos Curativas,"Masajes profesionales a domicilio en Rionegro. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Rionegro,Rionegro,Oriente Antioqueño,Todos,Alta,Pendiente
24,Hub Zona,/masajes-a-domicilio-en-la-ceja/,Masajes a Domicilio en La Ceja | Manos Curativas,"Masajes profesionales a domicilio en La Ceja. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en La Ceja,La Ceja,Oriente Antioqueño,Todos,Media,Pendiente
25,Hub Zona,/masajes-a-domicilio-en-el-retiro/,Masajes a Domicilio en El Retiro | Manos Curativas,"Masajes profesionales a domicilio en El Retiro. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en El Retiro,El Retiro,Oriente Antioqueño,Todos,Media,Pendiente
26,Hub Zona,/masajes-a-domicilio-en-marinilla/,Masajes a Domicilio en Marinilla | Manos Curativas,"Masajes profesionales a domicilio en Marinilla. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Marinilla,Marinilla,Oriente Antioqueño,Todos,Media,Pendiente
27,Hub Zona,/masajes-a-domicilio-en-el-carmen-de-viboral/,Masajes a Domicilio en El Carmen de Viboral | Manos Curativas,"Masajes profesionales a domicilio en El Carmen de Viboral. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en El Carmen de Viboral,El Carmen de Viboral,Oriente Antioqueño,Todos,Baja,Pendiente
28,Hub Zona,/masajes-a-domicilio-en-guatape/,Masajes a Domicilio en Guatapé | Manos Curativas,"Masajes profesionales a domicilio en Guatapé. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Guatapé,Guatapé,Oriente Antioqueño,Todos,Baja,Pendiente
29,Hub Zona,/masajes-a-domicilio-en-san-antonio-de-pereira/,Masajes a Domicilio en San Antonio de Pereira | Manos Curativas,"Masajes profesionales a domicilio en San Antonio de Pereira. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en San Antonio de Pereira,San Antonio de Pereira,Oriente Antioqueño,Todos,Baja,Pendiente
30,Hub Zona,/masajes-a-domicilio-en-el-penol/,Masajes a Domicilio en El Peñol | Manos Curativas,"Masajes profesionales a domicilio en El Peñol. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en El Peñol,El Peñol,Oriente Antioqueño,Todos,Baja,Pendiente
31,Hub Zona,/masajes-a-domicilio-en-llanogrande/,Masajes a Domicilio en Llanogrande | Manos Curativas,"Masajes profesionales a domicilio en Llanogrande. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Llanogrande,Llanogrande,Oriente Antioqueño,Todos,Media,Pendiente
32,Hub Zona,/masajes-a-domicilio-en-guarne/,Masajes a Domicilio en Guarne | Manos Curativas,"Masajes profesionales a domicilio en Guarne. Relajantes, deportivos, terapéuticos y más servicios. Reserva tu sesión hoy.",Masajes a Domicilio en Guarne,Guarne,Oriente Antioqueño,Todos,Media,Pendiente
33,Prog ★ (full),/masajes-relajantes-a-domicilio-en-medellin/,Masajes Relajantes a Domicilio en Medellín | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en Medellín. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en Medellín,Medellín,Ciudad,Masajes Relajantes,Alta,Pendiente
34,Prog ★ (full),/masajes-relajantes-a-domicilio-en-el-poblado/,Masajes Relajantes a Domicilio en El Poblado | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en El Poblado. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en El Poblado,El Poblado,Barrio Medellín,Masajes Relajantes,Alta,Pendiente
35,Prog ★ (full),/masajes-relajantes-a-domicilio-en-las-palmas-medellin/,Masajes Relajantes a Domicilio en Las Palmas Medellín | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en Las Palmas Medellín. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en Las Palmas Medellín,Las Palmas Medellín,Barrio Medellín,Masajes Relajantes,Alta,Pendiente
36,Prog ★ (full),/masajes-relajantes-a-domicilio-en-laureles/,Masajes Relajantes a Domicilio en Laureles | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en Laureles. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en Laureles,Laureles,Barrio Medellín,Masajes Relajantes,Alta,Pendiente
37,Prog ★ (full),/masajes-relajantes-a-domicilio-en-estadio/,Masajes Relajantes a Domicilio en Estadio | Manos Curativas,"Servicio profesional de masajes relajantes a domicilio en Estadio. Alivio del estrés, bienestar y relajación profunda. Reserva tu sesión.",Masajes Relajantes a Domicilio en Estadio,Estadio,Barrio Medellín,Masajes Relajantes,Media,Pendiente
